Nick Name,Hero Name,Real Name,Type,Comics,Series,Stories,Events,Sum,Intelligence,Strength,Speed,Endurance,Energy Emission,Combat Skills,Total,Mean,Enemy,Family,Friend,Love,Work,Score,Metascore,Votes,Gross,Likes,Pop
thor,Thor,Thor,alive,asgardian,1717,488,2621,24,2,5,6,7,6,6,32,5.333333333,17,5,22,1,8,7.27,64.3,586,234,,
tonys,Iron Man,Tony Stark,alive,human,2586,635,3879,30,6,4,5,6,6,3,30,5,24,2,19,3,10,7.37,66,752,346,,
blackw,Black Widow,Natasha Romanoff,alive,human,20,9,21,1,3,3,2,3,3,6,20,3.333333333,19,0,13,1,12,0,0,0,0,,
stever,Captain America,Steve Rogers,alive,human,2313,634,3437,29,4,4,3,3,1,6,21,3.5,22,0,18,2,10,7.5,70.3,655,281,,
bruceb,Hulk,Bruce Banner,alive,human,118,32,167,6,6,7,3,7,1,5,29,4.833333333,14,0,17,2,4,6.7,61,409,134,,
hawke,Hawkeye,Clint Barton,alive,human,34,8,38,1,3,2,2,2,1,6,16,2.666666667,13,0,12,1,10,0,0,0,0,,
peterp,Spider Man,Peter Parker,alive,human,3786,940,5753,35,5,4,5,3,4,5,26,4.333333333,11,1,10,1,3,7.6,71,317,361,,
,Doctor Strange,Pietro Maximoff,alive,human,795,260,1014,20,7,3,5,6,7,7,35,5.833333333,,,,,,7.5,72,533,232,,
scottl,Ant Man,Scott Lang,alive,human,107,46,129,2,7,4,3,4,3,3,24,4,8,1,10,1,0,7.2,67,388,198,,
hopev,Wasp,Hope Van Dyne,alive,human,410,158,467,14,3,5,3,2,4,4,21,3.5,1,1,1,0,3,7.2,67,388,198,,
tchalla,T'Challa,Black Panther,alive,human,630,208,851,17,5,4,4,3,1,6,23,3.833333333,,,,,,7.3,88,540,700,,
groota,Groot,Groot,alive,flora colossus,36,15,39,2,6,5,2,5,1,4,23,3.833333333,6,0,8,0,7,7.85,71.5,737,361,,
rocket,Rocket,Rocket Raccoon,alive,halfworlder,81,35,92,4,4,1,3,2,1,4,15,2.5,7,0,8,0,7,7.85,71.5,737,361,,
peterq,Star Lord,Peter Quill,alive,human,76,35,117,4,5,5,7,4,6,5,32,5.333333333,4,3,8,1,5,7.85,71.5,737,361,,
drax,Arthur Douglas,Drax the Destroyer,alive,unknown,77,42,79,3,1,6,4,7,2,6,26,4.333333333,6,0,7,1,7,7.85,71.5,737,361,,
gamora,Gamora,Gamora,alive,zehoberei,65,29,69,4,4,5,5,6,1,7,28,4.666666667,4,2,7,1,7,7.85,71.5,737,361,,
,Captain Marvel,Carol Danvers,alive,mutant,482,170,582,16,3,5,5,6,5,4,28,4.666666667,,,,,,7,64,359,426,,
